city,title,price,location,area,building_area,bedrooms,bathrooms,garage
Jakarta Selatan,Rumah Lama Hitung Tanah Lenteng Agung Di Bawah Njop,Rp 7 Miliar,"Lenteng Agung, Jakarta Selatan",: 623 m²,: 74 m²,2,1,2
Jakarta Selatan,"Rumah Mewah 3 Lantai Ada Roof Top Dalam Komplek Exclusive di Pondok Indah, Mewah, Dekat Pim","Rp 13,4 Miliar","Pondok Indah, Jakarta Selatan",: 252 m²,: 435 m²,3,3,2
Jakarta Selatan,Termurah Dijual Rumah Hitung Tanah Dekat Lapangan Golf di Pondok Indah Lokasi Premium,"Rp 18,9 Miliar","Pondok Indah, Jakarta Selatan",: 470 m²,: 400 m²,4,3,2
Jakarta Selatan,Rumah Mewah 2 Lantai Siap Huni di Kemang Bagus Private Pool Shm,Rp 25 Miliar,"Kemang, Jakarta Selatan",: 714 m²,: 600 m²,4,4,4
Jakarta Selatan,Rumah di Kemang Timur Raya Halaman Dan Parkiran Luas Bisa Usaha,Rp 50 Miliar,"Kemang, Jakarta Selatan",: 2363 m²,: 487 m²,3,3,5
Jakarta Selatan,"Rumah Lama Di Jalan Bangka, Kemang. Persegi Panjang.. Harus Lihat Shm","Rp 7,5 Miliar","Kemang, Jakarta Selatan",: 345 m²,: 250 m²,5,3,
Jakarta Selatan,"Rumah Dijual Cepat Di Pejaten Barat, Kemang. Harga Turun. Harus Lihat.",Rp 6 Miliar,"Kemang, Jakarta Selatan",: 290 m²,: 350 m²,4,4,2
Jakarta Selatan,"Rumah Lama Di Jalan Bangka, Kemang. Persegi Panjang.. Harus Lihat Shm","Rp 7,5 Miliar","Kemang, Jakarta Selatan",: 345 m²,: 250 m²,5,3,
Jakarta Selatan,"Rumah Dijual Cepat Di Pejaten Barat, Kemang. Harga Turun. Harus Lihat.",Rp 6 Miliar,"Kemang, Jakarta Selatan",: 290 m²,: 350 m²,4,4,2
Jakarta Selatan,Dijual Rumah America Classic Di Jagakarsa Jakarta Selatan,"Rp 2,75 Miliar","Jagakarsa, Jakarta Selatan",: 109 m²,: 200 m²,4,4,2
Jakarta Selatan,"Rumah Kos di Tebet Timur 11 Kamar Akses 1 Mobil, Carport 6 Mobil","Rp 4,2 Miliar","Tebet, Jakarta Selatan",: 180 m²,: 205 m²,10,6,6
Jakarta Selatan,Rumah Aesthetic Modern 3 Lantai,"Rp 1,45 Miliar","Jagakarsa, Jakarta Selatan",: 60 m²,: 145 m²,4,3,1
Jakarta Selatan,"Rumah Brand New Ada Pool, 3 Menit Ke Rspi Pondok Indah, 5 Menit Ke Gerbang Tol Pondok Pinang, 10 Menit Ke Jis, 5 Menit Ke Pim 1, Depan Rumah Jalan 2 Mobil 2 Arah Sangat Lega",Rp 31 Miliar,"Pondok Indah, Jakarta Selatan",: 525 m²,: 525 m²,4,4,2
Jakarta Selatan,Rumah Akses Jalan 2 Mobil - Hanya Hitung Harga Tanah Super Duper Murah [for Sale],"Rp 5,5 Miliar","Tebet, Jakarta Selatan",: 120 m²,,,,
Jakarta Selatan,Di Jual Rumah Bagus Di Kebayoran Baru Jaksel,Rp 12 Miliar,"Kebayoran Baru, Jakarta Selatan",: 433 m²,: 250 m²,12,4,3
Jakarta Selatan,Rumah Di Pondok Indah Terawat 5menit Ke Pim 2 Shm,Rp 7 Miliar,"Pondok Indah, Jakarta Selatan",: 160 m²,: 200 m²,3,4,1
Jakarta Selatan,Rumah Kokoh Jalan Besar 2lantai Shm Di Pondok Indah Jakarta Selatan,"Rp 17,5 Miliar","Pondok Indah, Jakarta Selatan",: 300 m²,: 450 m²,4,3,2
Jakarta Selatan,"Aparthouse Di Cilandak 2 Lantai Shm, Baru, Hadap Selatan",Rp 998 Juta,"Cilandak, Jakarta Selatan",: 32 m²,: 105 m²,3,2,1
