,city,title,price,location,area,building_area,bedrooms,bathrooms,garage
1167,Bogor,Rumah 2 Lantai Legenda Wisata Murah,1950.0,"Legenda Wisata, Bogor",210.0,157.0,3.0,3.0,2.0
1168,Bogor,Dijual Rumah Kota Wisata Boulevard Rapi Bagus 2 Lantai,3000.0,"Kota Wisata, Bogor",160.0,127.0,3.0,1.0,2.0
1169,Bogor,Rumah Baru Kota Wisata 2 Lantai,1800.0,"Kota Wisata, Bogor",128.0,110.0,3.0,2.0,2.0
1170,Bogor,Dijual Cepat Rumah Kota Wisata 2 Lantai,1800.0,"Kota Wisata, Bogor",144.0,100.0,3.0,1.0,2.0
1171,Bogor,Dijual Paling Murah Kota Wisata Jual Harga Tanah Dapat Bangunan Minimalis 3 Lantai,4500.0,"Kota Wisata, Bogor",450.0,350.0,4.0,4.0,2.0
1172,Bogor,Rumah 2 Lantai Kota Wisata Minimalis,1850.0,"Kota Wisata, Bogor",128.0,91.0,3.0,2.0,1.0
1173,Bogor,Jual Cepat Rumah 2 Lantai Bukit Golf Riverside Shm,1500.0,"Cibubur, Bogor",158.0,180.0,3.0,1.0,0.0
1174,Bogor,Rumah 2 Lantai Kota Wisata Sudah Renovasi,1850.0,"Kota Wisata, Bogor",120.0,200.0,4.0,2.0,2.0
1176,Bogor,Rumah Di Perumahan Citra Indah Raya,538.0,"Jonggol, Bogor",80.0,120.0,3.0,2.0,0.0
1177,Bogor,Dijual Murah rumah cantik 2lantai kota wisata 2m-an,2100.0,"Kota Wisata, Bogor",136.0,180.0,4.0,2.0,0.0
1178,Bogor,La.1443 Dijual Cepat Rumah 2lt Full Renov Rapih Di Kota Wisata Bisa Nego,3300.0,"Cibubur, Bogor",200.0,350.0,5.0,3.0,1.0
1179,Bogor,"Rumah View Lapangan Golf , Semua Gunung , City View, Ada Roof Top Klaster Bukit Golf Hijau di Sentul City Bogor",13900.0,"Sentul City, Bogor",1153.0,500.0,4.0,4.0,4.0
1180,Bogor,"Rumah Luas Strategis Dekat Aeon Mall Sentul City, Bogor Harga Nego J17869",3750.0,"Sentul City, Bogor",388.0,388.0,3.0,4.0,1.0
1181,Bogor,Rumah Cantik 4 menit ke Gerbang Tol Sentul Selatan 1 Free Renov Siap KPR J26181,1660.0,"Sentul City, Bogor",84.0,48.0,2.0,1.0,0.0
1182,Bogor,Rumah 2 Lt Hadap Selatan Free Renov 5 Menit ke Gerbang Tol Sentul Barat J26398,1730.0,"Sentul City, Bogor",85.0,57.0,2.0,2.0,0.0
1183,Bogor,Rumah LT 212 SHM Siap KPR 10 Menit ke Gerbang Tol Sentul Barat J23071,1330.0,"Sentul City, Bogor",212.0,178.0,4.0,6.0,0.0
1184,Bogor,Rumah Siap Renov Dekat Gerbang Tol Sentul 2 SHM 520jtan All In J25836,550.0,"Sentul City, Bogor",60.0,50.0,2.0,1.0,0.0
1185,Bogor,Sentul City Mediterania 2 . Rumah Mewah 2 Lantai Bagus . View Golf. Shm,26000.0,"Sentul City, Bogor",1200.0,600.0,5.0,5.0,6.0
1186,Bogor,La.1193 Dijual Cepat Rumah 2Lantai Siap Huni Dikota Wisata Cibubur Bisa Nego Bisa Kpr Dibantu Sampai Goal,4800.0,"Kota Wisata, Bogor",330.0,278.0,4.0,3.0,2.0
1187,Bogor,Rumah 2 Lantai Bagus Dekat Lapangan Golf Di Summarecon Bogor,4500.0,"Summarecon Bogor, Bogor",180.0,212.0,4.0,3.0,0.0
1188,Bogor,"Rumah Bagus SHM Jalan. Sungai Martapura No. 150 Cluster Taman Venesia Berada di Dekat Taman Budaya, Sentul City",1350.0,"Sentul City, Bogor",120.0,100.0,2.0,3.0,1.0
1189,Bogor,Rumah Clasic Best View,10500.0,"Sentul City, Bogor",525.0,500.0,5.0,4.0,4.0
1190,Bogor,Rumah Siap Huni View Golf..,32500.0,"Sentul City, Bogor",1250.0,700.0,4.0,4.0,2.0
1191,Bogor,Rumah siap huni posisi hoek di Kota Wisata,5000.0,"Kota Wisata, Bogor",268.0,300.0,4.0,3.0,2.0
1192,Bogor,Rumah Murah Dekat Stasiun Pondok Rajeg Strategis Bebas Banjir,395.0,"Cibinong, Bogor",50.0,28.0,2.0,1.0,1.0
1193,Bogor,Rumah Sudah Renov Harga Nego dekat  Mall Ciputra Cibubur Siap KPR J20014,1560.0,"Gunung Putri, Bogor",136.0,90.0,3.0,2.0,1.0
1194,Bogor,Rumah 9 Mnt ke Mall Paradise Walk Serpong Gratis Renov Harga Nego J22096,1070.0,"Gunung Sindur, Bogor",103.0,66.0,3.0,2.0,0.0
1195,Bogor,"Rumah SHM dekat Tol Sentul, Bogor Semi Furnished Gratis Renov J21262",880.0,"Sentul City, Bogor",98.0,90.0,2.0,2.0,0.0
1196,Bogor,Rumah Strategis Free Renov dekat Cileungsi Trade Center Siap Nego J23009,1420.0,"Cileungsi, Bogor",163.0,65.0,2.0,1.0,0.0
